week,Average of stringency_index,Average of government_response_index,Average of containment_health_index,Average of economic_support_index,Average of confirmed_cases,Average of confirmed_deaths10
1,0.0278,0.0156,0.0178,0,0,0
2,0.170771429,0.095828571,0.1096,0,0,0
3,0.345514286,0.193885714,0.221885714,0,0,0
4,0.808742857,4.934457143,5.636714286,0,0.000812,0
5,3.134971429,7.417,7.964742857,3.571428571,0.000498,0
6,8.5004,9.988,11.41602857,0,0.000444,0
7,8.7702,10.1398,11.5898,0,0.000102,0
8,8.817857143,10.16654286,11.6204,0,0.000102,0
9,10.03988571,10.92542857,12.4886,0,0.005628,0.0027
10,15.1028,14.13208571,16.00468571,1,0.112206,0.04834
11,26.23894286,22.93577143,25.26251429,6.642857143,0.763628,0.13604
12,57.28428571,45.33054286,47.78125714,28.10714286,6.803296,1.03462
13,70.81351429,56.60477143,57.17605714,52.60714286,23.924022,5.79896
14,77.10614286,63.58282857,62.17168571,73.46428571,47.061996,18.03666
15,79.1076,66.16805714,65.0438,74.03571429,54.249836,29.93752
16,79.25862857,66.80582857,65.79328571,73.89285714,52.441306,34.80394
17,78.74365714,67.29745714,66.32482857,74.10714286,59.64499,37.9724
18,77.19588571,67.07888571,66.02357143,74.46428571,55.865642,34.91426
19,74.52797143,66.27682857,65.02491429,75.03571429,52.251252,32.55852
20,72.85251429,66.0326,64.70508571,75.32142857,47.872062,27.99238
21,70.87457143,65.5596,64.17568571,75.25,48.346998,23.37306
22,69.86702857,65.17151429,63.86468571,74.32142857,42.46259,19.48588
23,66.52977143,63.71074286,62.16425714,74.53571429,41.680538,16.3485
24,64.6966,62.84334286,61.14328571,74.75,42.19978,13.66228
25,62.78808571,61.61051429,59.80554286,74.25,48.299334,11.33156
26,62.55182857,61.61742857,59.80305714,74.32142857,67.31768,10.73924
27,61.41957143,61.0894,59.36308571,73.17857143,83.646532,9.31228
28,60.89005714,60.99471429,59.31628571,72.75,99.862606,12.99058
29,61.03411429,61.35631429,59.72948571,72.75,114.340012,13.28988
30,61.24014286,61.6812,60.29471429,71.39285714,119.224534,15.81072
31,61.31128571,60.31582857,60.54008571,58.75,114.553058,18.02694
32,61.84565714,59.06037143,60.98214286,45.60714286,101.657702,17.1583
33,61.46462857,58.85437143,60.70594286,45.89285714,91.685192,16.7384
34,60.16868571,58.33922857,60.03008571,46.5,85.199364,16.45358
35,58.72874286,57.65305714,59.13434286,47.28571429,93.518698,16.42202
36,57.81331429,57.49574286,58.464,50.71428571,91.172288,15.17392
37,56.91908571,56.86477143,57.95714286,49.21428571,82.522404,13.25032
38,56.42062857,56.18488571,57.5278,46.78571429,100.713858,15.52556
39,55.74194286,55.70642857,57.0268,46.46428571,110.08432,15.0305
40,55.16097143,55.31288571,56.59717143,46.32142857,115.706318,15.04728
41,54.77068571,55.18242857,56.45794286,46.25,142.382526,16.64064
42,54.61471429,55.22528571,56.54831429,45.96428571,160.32626,17.9261
43,54.62831429,55.16545714,56.58125714,45.25,203.025184,20.9693
44,54.70902857,55.1332,56.56014286,45.07142857,243.744452,23.87966
45,55.06602857,55.29245714,56.83377143,44,325.119866,28.4345
46,55.64531429,55.68888571,57.20022857,45.10714286,415.609724,31.20348
47,56.758,56.38762857,58.09431429,44.42857143,463.665088,42.67748
48,57.42451429,56.75208571,58.53662857,44.25,411.088278,39.71394
49,57.7194,57.03817143,58.84888571,44.35714286,471.300084,58.2128
50,57.95491429,57.11365714,58.9356,44.35714286,477.197736,66.6025
51,58.85585714,58.99051429,61.06091429,44.5,433.153688,63.06082
52,58.8886,59.72702857,61.64225714,46.32142857,347.51015,51.3276
53,58.75625714,61.2192,62.02662857,55.57142857,419.39112,59.22616
54,58.34491429,61.00091429,61.84777143,55.07142857,479.661818,67.84498
55,58.37108571,56.73808571,56.96531429,55.14285714,409.123934,67.3575
56,57.98508571,59.82214286,60.51088571,55,323.569388,59.9319
57,57.61234286,60.96331429,61.85068571,54.75,277.980112,60.88976
58,57.15328571,60.635,61.47445714,54.75,220.225,55.90386
59,56.88468571,60.53228571,61.35705714,54.75,175.779332,44.60166
60,56.35671429,60.2896,61.11551429,54.5,133.10464,32.82142
61,56.02474286,60.23688571,60.97888571,55.03571429,135.555038,33.4922
62,54.84357143,59.6538,60.2972,55.14285714,116.843912,28.48656
63,53.84254286,58.60657143,59.14177143,54.85714286,111.362716,24.29734
64,52.97237143,58.6608,59.21414286,54.78571429,115.653892,19.71512
65,52.3306,58.60225714,59.11705714,55,128.70433,16.56926
66,51.42437143,58.11171429,59.18874286,50.28571429,134.07335,14.64842
67,47.4826,57.10917143,56.0666,47.53571429,143.219698,21.98588
68,46.83962857,56.95082857,55.79665714,47.78571429,142.122112,13.84
