state,NAME,B01003_001E,B98003_001E,B98012_001E
1,Alabama,4876250,376053,88.4
2,Alaska,737068,92517,89.6
3,Arizona,7050299,487721,90.2
4,Arkansas,2999370,231956,91.5
5,California,39283497,2739136,90.7
6,Colorado,5610349,425193,93.3
7,Connecticut,3575074,263774,93.2
8,Delaware,957248,75111,91.2
9,Florida,20901636,1239897,87
10,Georgia,10403847,630933,89.7
11,Hawaii,1422094,123238,88.7
12,Idaho,1717750,129367,91.4
13,Illinois,12770631,1083295,93.4
14,Indiana,6665703,534333,93.8
15,Iowa,3139508,373766,96
16,Kansas,2910652,288730,94.1
17,Kentucky,4449052,365427,94.2
18,Louisiana,4664362,309020,87.5
19,Maine,1335492,139183,92.7
20,Maryland,6018848,446838,94.3
21,Massachusetts,6850553,493495,93.9
22,Michigan,9965265,1038474,94.4
23,Minnesota,5563378,761314,94.9
24,Mississippi,2984418,194250,88.1
25,Missouri,6104910,531545,94
26,Montana,1050649,109004,91.6
27,Nebraska,1914571,226562,96.4
28,Nevada,2972382,204402,90.4
29,New Hampshire,1348124,115699,94.2
30,New Jersey,8878503,645712,94.9
31,New Mexico,2092454,157855,87.5
32,New York,19572319,1543020,93.1
33,North Carolina,10264876,725669,91.2
34,North Dakota,756717,96830,94.1
35,Ohio,11655397,975879,95.6
36,Oklahoma,3932870,462299,92.5
37,Oregon,4129803,301342,93.3
38,Pennsylvania,12791530,1260421,94.8
39,Rhode Island,1057231,72663,92.2
40,South Carolina,5020806,342397,89.2
41,South Dakota,870638,105300,93.7
42,Tennessee,6709356,476928,92.7
43,Texas,28260856,1702484,90.3
44,Utah,3096848,255768,93.6
45,Vermont,624313,81786,93.9
46,Virginia,8454463,625204,93.7
47,Washington,7404107,554648,94.3
48,West Virginia,1817305,141649,92.8
49,Wisconsin,5790716,786440,96.6
50,Wyoming,581024,48307,92.7
